85,36,1
2,36,2
130,36,3
123,36,4
122,36,6
150,36,7
22,36,8
151,36,9
124,36,10
152,36,11
154,36,14
155,36,16
3,36,17
157,36,19
127,36,20
17,36,21
158,36,22
159,36,23
160,36,24
160,40,24
160,41,24
161,36,25
1,46-53,1
6,49,82
3,40-53,17
2,40-53,2
8,52-53,99
9,47-53,5
10,52,6
11,41,23
11,43,23
11,45,23
11,46,23
11,48-53,23
12,44-55,19
13,52,88
13,50-51,6
14,51-52,13
15,43-49,22
15,52-53,22
16,52-53,24
17,52-53,7
17,51,77
17,42-43,26
17,44-47,7
5,40-41,20
5,42-43,16
5,52-53,8
5,45-51,16
18,50-53,87
19,52-53,30
20,52,20
21,50-51,66
22,51-53,10
22,47-49,88
23,40-43,9
23,52-57,9
23,47-48,9
4,40-51,8
24,40-50,21
25,40,5
25,41,10
25,42-49,10
26,44-45,77
26,46-47,77
27,50-51,22
28,51,15
31,48-51,26
32,48-51,35
33,50-51,3
35,51,11
36,49,0
100,50,27
36,51,27
36,55,32	
37,48-51,7
38,51,20
39,50-51,9
40,50-51,14
41,49,55
42,49,4
43,48-49,18
43,50,0
44,48-49,11
45,49,15
47,48-49,91
48,40,12
48,43,12
48,46,78
48,48,78
48,45,12
49,46-47,32
50,43,5
50,44-45,18
50,46-47,18
51,42-45,4
51,46-48,4
52,46,24
53,46,14
54,41-45,15
54,46-47,15
55,45,14
55,46-48,25
56,40-45,1
57,41-42,18
58,45,5
59,42-45,6
60,44-45,11
61,42-43,20
61,44-46,20
62,52,16
64,52-53,11
65,52-54,3
66,53,14
67,53,4
68,53,15
69,53,12
70,53,20
71,53,16
72,54,1
73,54-55,5
74,54-55,4
75,54,20
16,54-60,16
18,54,18
76,54-55,10
77,54,13
78,54-56,11
6,54-60,12
10,54-57,6
79,54-61,22
80,54,2
17,54-55,7
19,54-57,8
81,54,14
82,54,15
69,54-64,17
83,48,6
85,55-67,1
86,55,20
87,55-56,21
2,55-65,2
84,60-61,23
88,56-57,3
51,56-57,4
89,56-66,5
90,56,7
91,56-57,10
92,56-57,14
93,56-59,15
94,55,51
94,56-69,18
96,56-59,20
97,56,24
98,55,52
99,56-57,26
76,56,13
13,56,28
101,50,4
102,50,20
103,50,99
104,58-63,3
105,58-59,4
106,58-60,6
107,57-60,7
108,58-61,8
109,58-59,10
110,57-60,11
111,58-64,14
112,56-57,29
112,58-62,21
113,58-62,19
77,57,19
36,57,21
114,59-61,13
115,59-62,25
116,60-61,28
117,60-62,27
88,60-62,4
118,60,6
119,60-61,20
120,60,11
121,60-61,26
122,40,6
122,41,-6
123,40,4
123,41,0
124,40,10
125,40,13
125,41,13
125,42-43,11
126,40,7
127,40,15
28,40,16
129,41,19
129,42,19
131,41,16
132,40,14
132,41,0
132,42-43,14
18,61,29
134,61,16
135,61-62,10
120,61,15
137,61-62,11
138,62-66,12
139,62,22
140,62,20
141,62,89
142,62-63,30
143,62-63,6
144,62,8
146,62-63,24
87,62,23
119,62,7
147,62,55
148,62-63,31
149,63,21
16,62-66,16
108,63,8
116,63-68,19
162,63,20
163,63,4
164,63,10
121,63,7
165,63,89
166,63,55
167,63,25
168,63,11
169,63,23
134,64-66,3
170,64,4
171,64,6
167,64,7
172,64,8
91,64-67,10
165,64-65,11
18,64-71,13
173,64,15
174,64-69,20
166,64,21
175,64-65,22
176,64,23
177,64-67,24
178,64-67,25
179,64,26
180,64,17
184,65-66,8
185,65,15
186,65-67,21
96,65-67,23
182,65,14
104,65-67,6
183,65,7
171,65,17
187,65-66,4
188,66,11
165,66,7
189,66,15
190,66-68,22
191,66-67,14
192,66,30
193,66-70,26
194,66-67,17
195,66-67,32
181,67,12
198,67,31
199,67,7
200,67,15
201,67,16
121,67-69,11
202,67,30
203,67,8
204,67,25
205,67,26
206,68-70,3
207,68-75,16
208,68,21
209,68,25
97,68-69,17
97,68,5
210,68-69,14
178,68-82,10
211,68,7
211,68-69,15
212,68,32
213,68-75,4
214,68,23
215,68-74,1
184,68,8
217,68,8
190,69,23
218,69-84,27
219,69-72,6
219,70,88
212,69-72,24
220,69,28
208,69,30
221,69,29
222,68,31
222,69,15
223,69-70,8
224,69-71,19
184,69,7
214,69,12
227,70-71,18
220,70-71,77
228,70-71,15
229,70-71,17
230,70-71,36
231,70-71,9
210,70,11
232,70-74,29
233,70-75,88
234,70-71,7
235,71,8
236,71,14
237,71-72,23
238,71-72,11
239,72-73,3
220,72,7
227,72-75,8
224,72,9
240,72,13
240,72,28
241,72-74,22
242,72,5
243,41,5
243,42,5
236,72,17
234,72,77
244,72-73,7
245,72-73,12
246,72-73,19
247,40,0
248,40,0
249,40,0
250,46,0
251,44,0
252,44,0
253,40,0
254,40,0
255,40,0
256,55,41
257,50,0
258,50,0
259,51,0
260,72-74,18
261,51,0
262,51,0
263,73,24
264,73,26
265,73-74,77
266,73-74,23
267,73,11
268,73,6
269,73,9
270,73,14
271,73,30
272,73,13
273,74,6
274,74-75,7
238,74-75,11
275,74,26
276,74,9
246,74,21
69,74,92
277,74,24
270,74,15
278,74-75,14
279,75,32
266,75,3
280,75,6
281,75-78,13
265,75,19
282,75-78,94
283,75,9
284,75,23
285,75,22
286,75,20
287,75-76,18
288,76-77,1
289,76,8
290,76-77,11
291,76-81,19
292,76-84,44
293,76-77,80
294,76-77,91
295,76,7
189,76,20
296,76,89
297,76-77,9
298,76-83,4
280,76-77,22
69,76,92
299,76-79,31
300,76,3
272,76-77,14
244,77-79,12
301,77-78,18
302,77-79,21
303,77-79,77
304,77,7
305,77,3
281,77,15
306,77,34
307,78-84,1
308,78-79,7
309,78-79,22
310,78-79,25
311,78-79,23
312,78,11
313,78-79,8
314,78-83,5
315,79,6
316,79,23
317,79,30
318,79,32
319,79,11
320,80-81,11
321,80-84,18
322,80-81,22
323,80-81,42
324,80,71
325,80,36
326,80,20
327,80-81,7
328,80-83,16
329,80-83,9
330,80-81,25
331,80,6
332,80-83,8
332,84,10
333,80,21
300,80,3
334,81,23
335,81-84,3
336,81,95
336,83,95
337,81-84,77
300,81-82,28
339,81-82,97
339,84,97
326,81,14
340,81,24
341,81,17
342,81,29
343,82-83,21
344,82-83,31
345,82-84,70
346,82,7
347,82-83,50
348,82,29
349,82,14
350,82-83,23
351,82-84,17
352,83,11
353,83,71
354,83,78
355,83,68
356,83,7
357,83-84,37
358,83,72
359,84,7
360,84,6
361,84,9
